chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.4285822,1184.1691069019157,1223.4352871897315,2227.30224609375,0.16077532087053573,-335.10986,101.31202,7.1118956,4.462339,-5.0135818,-0.41947535,-6.281559,-8.262338,-6.2450466,-1.2809465,1.1597687,-1.3467743,1.2472655,-1.7248471,-0.8282516,-1.4377714,-2.0725818,-2.8082514,-4.46303,-3.937641,neg
0.3238123,885.4147619661744,730.6715885966915,1552.9840399749087,0.05775975136861314,-401.31488,126.33907,-28.435978,-10.119234,2.7157338,-26.39357,-11.888623,-4.272307,-8.883081,6.459868,4.952999,-3.192651,3.3998747,-0.095775954,-4.0663323,-0.7270224,-5.0332837,-4.993531,-1.2126402,-3.013561,neg
0.09184518,392.13152561415234,377.8163116815323,773.6197122713414,0.02528492997332317,-558.97943,17.666185,-1.9321058,3.524351,-3.4649696,-2.062141,-1.7018436,-4.0421376,-5.7397823,-1.7329549,0.13193372,-2.164231,-1.1013577,0.0044643064,-0.40582377,-1.974561,-1.6946017,-2.6493833,-1.0646046,-1.2675227,neg
0.35447508,1833.1055743126897,1324.8540634492851,3277.276611328125,0.11324249751984126,-498.95624,36.13708,-26.054407,2.7387438,-11.405599,-1.099753,-6.4807963,-5.330528,-8.720837,-4.5933266,-0.41124615,-4.708642,1.5807983,-1.7795868,-3.611679,-2.5246732,-1.6876858,-7.02062,-3.6228664,-1.2854029,neg
0.47812647,1984.8043197056722,1474.80542643766,3606.080207104953,0.15697597287735848,-345.70377,90.37646,-40.45145,12.025072,-25.192732,1.7740695,-4.373145,-17.450262,2.6447296,2.4351668,-1.3845811,-2.893861,-8.838768,-7.5926948,-1.6162703,-11.119886,-4.8088136,-0.5407425,-3.9728699,-1.2620833,neg
0.42300195,2210.259736076647,1990.6872102466994,4419.446252893518,0.16521789801954734,-456.20276,45.475494,-12.751125,12.101022,-3.5219615,3.977483,-1.6312153,-2.480103,-14.29013,-2.055134,-4.3126826,-3.687418,2.02273,-6.771849,-0.8708007,-2.3332043,-2.306127,-3.8633153,0.19275907,-3.1840122,neg
0.45096368,2749.4512358061,2056.1413418214647,4515.780705136803,0.21170240410407726,-414.6025,31.797152,-27.198326,5.867631,-11.497716,-15.086061,1.5468907,-10.407204,-3.9200041,4.1831007,-14.0044155,-11.4415,0.49604988,-0.61048543,-9.315304,-8.370009,-9.869634,-9.759652,-7.80071,-2.4141505,neg
0.50378245,2470.3339833574037,1958.5373465047126,4635.386942200742,0.2944977323887712,-406.32812,62.722523,-29.70511,16.4478,-34.609444,-5.8818793,-9.793867,-14.790414,-10.31101,0.8324084,0.23723525,-9.240456,-5.035987,-5.9488606,-0.748326,-10.897285,-4.3862906,-3.3007503,-4.2574816,-3.064866,neg
0.30857673,2093.884943137859,2136.3387481874292,4041.2313771802324,0.10240734011627907,-348.46423,76.68707,-17.833344,-3.8092475,-11.500179,-3.8448794,-4.237128,-22.344263,-16.266426,-9.710156,-8.078532,0.57472646,-1.9385649,-8.53657,-9.153345,-11.585948,-21.617287,-12.388379,-8.273097,-10.3956585,neg
0.2593986,1235.3288318836485,914.4192298861913,2141.26171875,0.078236328125,-492.72046,38.822315,-22.216707,2.510066,-1.6116993,-1.6871457,-13.829217,-11.814996,-6.940671,-5.876837,-10.727461,-10.771667,-1.0411929,-5.509231,-2.5745244,-2.7693381,-3.8489382,-0.67358446,-1.5125867,-2.6759791,neg
0.3755828,1997.7125648614747,1691.5136088597562,3809.9198190789475,0.12570121593045114,-401.86172,63.259148,-10.742394,11.465126,-20.206364,8.681157,-27.405382,-12.924593,-9.606543,-0.14695807,-6.198505,-12.693263,4.722548,-15.458586,-12.989842,-9.412645,-4.466829,-7.053549,0.06581012,0.8059962,neg
0.45004323,2182.9441111499273,1962.3288865242619,4170.472326944041,0.29552371002906974,-373.82648,62.863655,-20.43066,19.489277,-13.822928,1.4652779,-9.943156,1.8727319,-13.356428,-9.144496,0.24559899,-6.7311773,2.2144535,-5.025408,-2.9847019,-5.549085,-2.23018,-6.00941,-4.316117,-2.8341477,neg
0.42656025,1680.5483334975181,1635.0522215034125,3289.7442316604875,0.12379584878177965,-381.01105,92.538315,0.3112405,-3.1742299,-17.611347,9.4736395,-15.03375,-4.9621077,-6.858559,-13.686771,-3.1886408,-5.6362658,-0.32080945,-6.826501,-7.4717135,-8.120485,-10.458957,-7.3830504,-3.449977,-7.241066,neg
0.48482636,2146.4573561359834,1652.9233490566958,3804.703903198242,0.2858174641927083,-345.12708,66.958954,-50.827168,19.997345,-8.756776,-4.464734,-18.631905,-3.93964,-7.8700504,7.428148,6.3873734,-6.049507,7.010113,-3.0647147,-4.0802855,-0.18956316,0.53337437,-8.606899,1.3253053,-3.052146,neg
0.3140148,1611.8338259693612,1510.8246613149847,3043.603005670692,0.14747751101501305,-400.9127,49.140278,-20.496382,7.6764345,-14.241242,0.8401447,-22.026669,-12.017513,-12.028616,-3.7302527,-9.21493,-11.522636,0.7491428,-10.874942,-7.4718966,-5.6752605,-2.0724194,-4.7943954,4.0600944,2.3640418,neg
0.41433272,2202.6468832736837,2200.0696766749456,4300.650185032895,0.1167983435150376,-422.87277,64.116684,-7.934733,18.099562,19.106136,4.6959615,0.4455492,-7.689196,-8.764202,-1.363429,-6.378032,-4.9435678,-3.8309453,-7.954644,-8.638284,-8.926228,-13.449239,-5.6897388,-1.1786638,-9.783003,neg
