chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.35968876,1752.8918492647265,1735.0355139220067,3719.70703125,0.09407242063492063,-393.38898,111.4403,-20.350079,-18.497507,-83.363594,3.4936435,-2.4699624,4.059632,-13.731721,-14.486796,-1.3266846,-23.800768,-6.5267043,-10.2878,-0.2226793,-14.6408205,-1.971389,0.87995225,-12.527412,4.84043,No PD
0.2278155,1138.5522808794472,1182.5763696915865,2044.4764997956302,0.05791387206450654,-611.1313,127.204796,-29.08721,-9.402779,-15.006544,-17.72987,-1.9276814,-3.6839323,-31.525297,-26.28394,10.75936,-0.6207085,-12.207565,-8.4607725,-22.845598,-21.140465,-6.8674626,-8.025317,-9.109139,-4.1272964,No PD
0.27867967,1407.9520640370347,1501.3989236768762,2467.213840386471,0.0819809980703259,-332.7004,138.38553,-35.842712,17.349094,-32.251064,29.874598,-10.623678,-5.2878146,-15.71013,-2.2568762,3.3488574,-10.965014,-2.9605918,-25.085136,-7.8728375,-10.373712,-6.5459347,-12.437162,-8.598465,-7.798756,No PD
0.27514872,1555.1258834726768,1098.5134116553536,2567.504012608292,0.10396909808168317,-492.7235,109.12072,-93.86478,-23.694628,-32.080097,-3.047175,32.202118,-21.841198,-27.394768,-1.849972,-29.454266,-20.237963,-5.3371882,-15.871432,2.9189436,-3.3446887,-7.869624,5.4504795,-5.7503653,-13.925717,No PD
0.25339139,1173.7389566349639,1235.7100818876977,1911.6832435794822,0.06907929078507795,-519.2233,139.42818,-20.247952,5.00749,-32.10432,-2.324992,-13.816913,-19.330027,-37.809387,-24.302612,13.962523,-9.204898,-3.1734526,-6.1692653,-16.185406,-5.496571,-2.5668314,-5.555028,-4.1889973,-16.041784,No PD
0.23365915,1640.9027710674713,1752.8773638797165,3449.4659949993265,0.07587827485183189,-394.3913,101.00551,-24.450157,1.2540922,-62.17916,-3.053881,-4.120244,6.85675,-27.209484,5.2645063,3.5186584,-27.483955,8.079453,-19.885994,-8.367078,-12.755167,-9.179532,-11.823974,-19.734913,-7.24113,No PD
0.32587114,1495.489650191078,1158.4031806251905,2684.9832063938284,0.1027399592486053,-365.05423,111.339,-83.255775,-3.7844691,-36.761845,-13.247539,13.399987,-4.8533626,-28.845804,-29.415375,1.0072639,-6.1229067,-17.447926,-11.920535,3.8345456,4.378109,-12.174602,-6.6399364,-3.818434,-16.660406,No PD
0.35762766,1465.1435548268119,1324.201173082969,2198.3564920088356,0.11269551552754678,-288.23465,139.254,-46.97414,-3.451738,-23.847721,26.973825,1.1426296,-0.32773155,-17.950045,-6.696091,8.599376,-14.196107,-4.5187626,-17.059353,-6.851412,-7.3153734,-6.3772264,-6.567797,-19.074762,-10.014577,No PD
0.31858873,1289.5364483366257,1026.3074897228782,2033.5418701171875,0.09647623697916667,-454.2672,158.52466,-68.56518,-21.837452,-35.554096,-18.34755,13.182933,-28.174171,-44.851776,-5.4590926,-8.053591,-10.6130905,-6.210905,-20.668804,-5.6494393,-17.386633,-12.47214,1.3769585,-22.566162,-14.599321,No PD
0.35897127,1497.527988777116,1556.105041744021,2515.20732421875,0.093115234375,-499.2172,139.85228,-38.044827,-19.645805,-53.726227,-0.1472085,-8.57098,-6.3105187,-35.274666,12.281412,-9.295832,-25.477364,-9.963017,-29.05705,3.7079268,-16.726957,-1.7525232,-21.079346,-13.6230955,1.1097409,No PD
0.32621548,1045.1496432306253,1163.6265348541153,1482.9569857426795,0.05297605576983627,-459.35925,156.51608,-6.4541397,-16.463312,-34.60568,1.1373603,-14.559779,-2.9592464,-9.66978,-48.803596,6.0538073,15.133319,-12.37162,-20.952715,-21.34452,-0.33159402,-16.40219,-15.256085,8.757894,-11.584319,No PD
0.32031152,1330.3678229731174,1280.2707027550568,2487.05419921875,0.07850446428571428,-518.19824,126.06229,-22.210598,-6.1783733,-22.274286,-10.732333,17.67551,-0.19290937,-18.60745,-4.549159,-10.583407,-22.989048,-7.5042405,-2.11056,-8.531737,-11.164168,-4.441937,-4.968551,-10.3954935,-6.449826,No PD
0.43208936,1327.9225462992097,1188.6530335418447,2063.6120241079757,0.09372084888059702,-504.99615,124.46448,-12.026588,-29.558025,-29.9632,-19.902866,-2.2662055,4.7230186,-12.37602,-19.368746,-12.272286,-1.7271583,-3.163869,-18.242998,-6.432093,-6.1046753,-8.836053,5.2595496,-1.4906566,-11.530564,No PD
0.24510941,1196.7560626442137,1230.126029663788,1731.5941037155512,0.07005490280511811,-612.527,113.22439,-5.947473,-25.850353,-30.176268,-8.617215,-9.702618,-23.753353,-19.283531,-0.82414955,4.462843,-2.732872,-5.527503,-15.832321,-18.210875,-6.757652,-5.701085,-13.870729,-3.2730432,-0.49860588,No PD
0.2870544,1389.159823473273,1098.1524268404005,2376.997312648495,0.09347105580121436,-368.54794,129.01593,-83.70961,-38.884808,-29.982544,-21.480738,-17.034496,21.983303,-18.650362,-29.092907,26.740513,-13.469989,-13.834031,-6.9289756,-23.949635,-3.7287498,-0.39149308,5.380808,2.093538,-13.477258,No PD
0.18190964,944.8849941268725,999.5781671497949,1300.5794467522658,0.06694911253776435,-566.72906,132.17139,-0.7170882,-17.453083,-32.36205,-14.255101,-21.80649,-10.120967,-27.660416,-21.682575,21.20222,-2.702584,-19.930536,-15.786959,-10.384018,-12.660307,-12.251796,-3.208161,-8.391427,-2.982526,No PD
0.24411152,1291.4795869535044,1527.5352110363133,2259.279733937937,0.06814767263986014,-549.3408,121.30769,-1.042557,-12.194811,-37.283657,-2.125251,-19.640816,-15.244405,-29.82563,-12.4303465,12.197302,-9.597685,-1.2439259,-6.818439,-21.546402,-22.05185,4.3096766,-6.4123154,-18.535702,-3.0269432,No PD
0.30105484,1289.996500880032,1138.5240125741818,2149.402288854475,0.09621885401257396,-541.97516,113.68377,-19.963211,-15.084438,-25.79075,-10.604797,-0.060615674,-18.215353,-8.862965,8.36382,-3.2275224,-18.472012,-21.313295,-14.756642,-7.305985,-8.1597185,5.6499996,1.162382,-15.664909,-5.4091926,No PD
0.30049747,1168.8495456434468,1286.3103835561155,1881.3622638271443,0.0656053870292887,-423.2275,152.3778,-10.934227,0.30343708,-52.984028,-7.1592674,-32.92577,-14.721288,14.013988,-38.181427,-12.031285,-4.4926376,7.7774715,8.04375,-16.56968,-6.70796,-22.486269,-11.942976,-2.950422,-10.236806,No PD
0.29992712,2060.742039355491,1969.6089289767965,4734.646267361111,0.08908570842978394,-464.24966,117.5999,-9.359248,15.257639,-89.50894,28.864735,-7.2386265,-12.064708,14.361567,-11.543821,4.1628056,3.936005,6.8290195,-27.910566,-10.049729,-13.027733,-29.019579,3.0707152,-2.4057217,-12.651035,No PD
0.31800178,1490.8861700261991,1520.5565176716761,3031.328769899764,0.08026391755110063,-525.7311,120.46958,-13.919547,-22.74456,-73.77523,1.1883092,0.8877211,-8.317227,0.89354366,-12.3962145,-6.3646307,-6.0427866,-9.348475,-31.88039,-14.152055,5.8229012,-6.770033,-0.19426757,1.1221302,-13.884344,No PD
0.27733088,1099.9056317327725,1069.127076853759,2010.9209452589898,0.061678951733732876,-497.1046,162.58902,-37.25069,-6.9123025,-10.073856,-19.317595,12.45573,4.265838,-5.808022,-5.4551816,-21.162695,-4.575618,2.2393959,-25.553911,-14.324656,1.3799864,-16.465961,-16.892046,-5.2812138,-14.256759,No PD
0.35833898,1673.2898556483694,1603.6167626877789,3293.41728515625,0.0934375,-319.05087,112.86838,-31.291574,-19.752687,-89.21688,-4.913217,1.8202871,7.1637764,-19.644167,-9.596327,5.6536655,-27.943396,-9.845713,-9.327141,-0.18394299,-18.412836,-0.84120464,6.467485,-16.421566,2.3233745,No PD
